fid,index,name,utm_coords
"30","30",tile29,"E:322000,N:5723000"
"31","31",tile30,"E:323000,N:5723000"
"32","32",tile31,"E:324000,N:5723000"
"33","33",tile32,"E:325000,N:5723000"
"42","42",tile41,"E:322000,N:5724000"
"43","43",tile42,"E:323000,N:5724000"
"44","44",tile43,"E:324000,N:5724000"
"45","45",tile44,"E:325000,N:5724000"
"54","54",tile53,"E:322000,N:5725000"
"55","55",tile54,"E:323000,N:5725000"
"56","56",tile55,"E:324000,N:5725000"
"57","57",tile56,"E:325000,N:5725000"
"66","66",tile65,"E:322000,N:5726000"
"67","67",tile66,"E:323000,N:5726000"
"68","68",tile67,"E:324000,N:5726000"
"69","69",tile68,"E:325000,N:5726000"
